name,address,city,state,postal_code
St Honore Pastries,935 Race St,Philadelphia,PA,19107
Sonic Drive-In,615 S Main St,Ashland City,TN,37015
Tsevi's Pub And Grill,8025 Mackenzie Rd,Affton,MO,63123
Sonic Drive-In,2312 Dickerson Pike,Nashville,TN,37207
Vietnamese Food Truck,,Tampa Bay,FL,33602
Denny's,8901 US 31 S,Indianapolis,IN,46227
Zio's Italian Market,2575 E Bay Dr,Largo,FL,33771
Tuna Bar,205 Race St,Philadelphia,PA,19106
BAP,1224 South St,Philadelphia,PA,19147
Roast Coffeehouse and Wine Bar,10359 104 Street NW,Edmonton,AB,T5J 1B9
Hibachi Express,6625 E 82nd St,Indianapolis,IN,46250
Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,89502
Super Dog,1160 Gallatin Pike S,Nashville,TN,37115
The Green Pheasant,215 1st Ave S,Nashville,TN,37201
Bar One,767 S 9th St,Philadelphia,PA,19147
Domino's Pizza,3001 Highway 31 W,White House,TN,37188
DeSandro on Main,4105 Main St,Philadelphia,PA,19127
Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003
Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123
Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341
Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002
China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,AZ,85746
Caviar & Bananas,2031 Broadway,Nashville,TN,37203
Core de Roma,201 Jefferson St,Bala Cynwyd,PA,19004
Paws The Cat Cafe,10588 109 Street,Edmonton,AB,T5H 3B2
Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,33618
Joe's Pizza,2038 N Dale Mabry Hwy,Tampa,FL,33607
Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058
Twin Peaks,6880 E 82nd St,Indianapolis,IN,46250
Village Tap Room,838 Broad Ripple Ave,Indianapolis,IN,46220
Doc Magrogan's Oyster House - West Chester,117 E Gay St,West Chester,PA,19380
Sharky's Sports Bar & Grill,820 N Black Horse Pike,Williamstown,NJ,08094
39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036
Gavi Italian Restaurant,"7401 N La Cholla Blvd, Ste 146",Tucson,AZ,85707
Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,FL,33544
Wawa,3604 Chestnut St,Philadelphia,PA,19104
Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,NJ,08016
Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101
Copper Vine,1001 Poydras St,New Orleans,LA,70112
Fresh Fruits & Salads,114 N 3rd St,Camden,NJ,08102
Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201
Impasto,,Tampa,FL,33611
